"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1989";"8128";"3900";"3726";" 158";"3260";" 233";"   2";"   0";" 413";" 349";"  31";"   1";"   0";"   1";"   0";"   0";"   3";" 102";"  35";"1118";"  53";"   0";"   0";" 157";"5388";" 105";" 828";"  78";"   1";"   0";"1039";" 105";" 828";" 148";"   4";"   0";"1260"
"Total_1990";"8746";"4230";"4029";" 170";"3401";" 265";"   3";"   0";" 574";" 294";"  35";"   1";"   0";"   2";"   0";"   0";"   5";" 107";"  43";"1242";"  89";"   0";"   0";" 202";"5702";" 146";" 864";"  88";"   2";"   0";"1126";" 146";" 864";" 188";"   8";"   0";"1390"
"Total_1991";"9356";"4530";"4324";" 182";"3649";" 292";"   3";"   0";" 607";" 406";"  37";"   2";"   0";"   2";"   1";"   0";"   5";" 114";"  52";"1379";"  91";"  44";"   0";" 240";"5979";" 154";" 927";"  97";"   2";"   0";"1208";" 154";" 927";" 206";"  48";"   0";"1515"
"Total_1992";"9977";"4923";"4697";" 195";"3907";" 320";"   4";"   0";" 723";" 433";"  39";"   2";"   0";"   3";"   1";"   0";"   6";" 120";"  62";"1514";" 128";"  45";"   0";" 271";"6317";" 184";" 992";" 107";"   3";"   0";"1311";" 184";" 992";" 256";"  50";"   0";"1652"
"Total_1993";"10601";" 5136";" 4906";"  209";" 4230";"  354";"    5";"    0";"  605";"  519";"   43";"    2";"    0";"    3";"    1";"    0";"    7";"  128";"   73";" 1663";"  139";"   51";"    0";"  311";" 6625";"  154";" 1074";"  118";"    3";"    0";" 1372";"  154";" 1074";"  275";"   58";"    0";" 1764"
"Total_1994";"11254";" 5518";" 5272";"  231";" 4456";"  389";"    5";"    0";"  724";"  428";"   47";"    3";"    0";"    3";"    2";"    0";"    8";"  136";"   85";" 1817";"  151";"   83";"    0";"  371";" 7049";"  184";" 1132";"  129";"    3";"    0";" 1477";"  184";" 1132";"  302";"   87";"    0";" 1913"
"Total_1995";"12031";" 5838";" 5570";"  246";" 4750";"  424";"    6";"    0";"  729";"  516";"   49";"    3";"    0";"    4";"    2";"    0";"    9";"  148";"   99";" 1982";"  172";"   88";"    0";"  383";" 7558";"  185";" 1206";"  140";"    4";"    0";" 1562";"  185";" 1206";"  335";"   96";"    0";" 2025"
"Total_1996";"12823";" 6091";" 5790";"  261";" 5060";"  465";"    7";"    0";"  635";"  522";"   54";"    4";"    0";"    4";"    3";"    0";"    9";"  156";"  112";" 2162";"  178";"  109";"    0";"  405";" 7960";"  161";" 1285";"  152";"    4";"    0";" 1633";"  161";" 1285";"  360";"  115";"    0";" 2118"
"Total_1997";"13770";" 6475";" 6164";"  278";" 5266";"  510";"    8";"    0";"  802";"  455";"   56";"    4";"    0";"    5";"    3";"    0";"   11";"  168";"  130";" 2349";"  225";"  128";"    0";"  485";" 8576";"  204";" 1338";"  167";"    5";"    0";" 1740";"  204";" 1338";"  421";"  138";"    0";" 2311"
"Total_1998";"14697";" 6778";" 6447";"  295";" 5573";"  549";"    9";"    0";"  745";"  574";"   60";"    5";"    0";"    6";"    4";"    0";"   12";"  180";"  148";" 2557";"  245";"  156";"    0";"  505";" 9131";"  189";" 1416";"  179";"    6";"    0";" 1820";"  189";" 1416";"  460";"  166";"    0";" 2433"
