"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_2029";"24080";" 6438";" 5531";" 1024";" 5271";" 1725";"   43";"   34";"  353";"  273";"   80";"   35";"   34";"   28";"   26";"    7";"   52";"  379";" 1495";"11410";"  656";"  588";"  156";" 1172";" 9896";"   90";" 1339";"  517";"   27";"   22";" 1928";"   90";" 1339";" 1143";"  611";"  173";" 3004"
"Total_2030";"24075";" 6328";" 5406";" 1024";" 5189";" 1714";"   42";"   33";"  350";"  269";"   76";"   34";"   33";"   29";"   25";"    7";"   51";"  393";" 1537";"11786";"  642";"  556";"  157";" 1127";" 9995";"   89";" 1318";"  514";"   27";"   21";" 1889";"   89";" 1318";" 1114";"  576";"  174";" 2934"
"PWID_1973";" 665";" 416";" 414";"   7";" 187";"   3";"   0";"   0";" 239";" 118";"   3";"   0";"   0";"   0";"   0";"   0";"   0";"  24";"   0";"  24";"   0";"   0";"   0";"   0";"1449";"  61";"  47";"   1";"   0";"   0";" 106";"  61";"  47";"   1";"   0";"   0";" 106"
"PWID_1974";" 939";" 565";" 557";"  13";" 308";"   7";"   0";"   0";" 270";" 157";"   5";"   0";"   0";"   1";"   0";"   0";"   1";"  32";"   1";"  50";"  60";"   0";"   0";"  60";"1903";"  69";"  78";"   3";"   0";"   0";" 144";"  69";"  78";"  62";"   0";"   0";" 191"
"PWID_1975";"1207";" 730";" 718";"  19";" 427";"  11";"   1";"   0";" 314";" 178";"   7";"   1";"   0";"   1";"   0";"   0";"   1";"  41";"   1";"  84";"  63";"   0";"   0";"  63";"2409";"  80";" 108";"   4";"   1";"   0";" 186";"  80";" 108";"  65";"   1";"   0";" 236"
"PWID_1976";"1483";" 900";" 882";"  25";" 553";"  16";"   1";"   0";" 355";" 206";"   9";"   1";"   0";"   1";"   1";"   0";"   1";"  48";"   2";" 124";"  65";"  55";"   0";"  66";"2848";"  90";" 140";"   6";"   1";"   0";" 230";"  90";" 140";"  70";"  55";"   0";" 292"
"PWID_1977";"1764";"1082";"1060";"  31";" 688";"  23";"   1";"   0";" 395";" 233";"  11";"   1";"   0";"   2";"   1";"   0";"   2";"  55";"   3";" 171";" 106";"  61";"   0";" 115";"3267";" 100";" 175";"   9";"   1";"   0";" 277";" 100";" 175";" 112";"  61";"   0";" 372"
"PWID_1978";"2042";"1257";"1228";"  39";" 833";"  30";"   2";"   0";" 431";" 258";"  14";"   2";"   0";"   2";"   1";"   0";"   2";"  64";"   4";" 223";" 116";"  62";"   0";" 122";"3748";" 109";" 212";"  12";"   1";"   0";" 324";" 109";" 212";" 123";"  62";"   0";" 433"
"PWID_1979";"2327";"1435";"1399";"  46";" 973";"  39";"   2";"   0";" 462";" 281";"  16";"   2";"   0";"   2";"   1";"   0";"   3";"  72";"   5";" 285";" 121";"  62";"   0";" 164";"4187";" 117";" 247";"  15";"   1";"   0";" 369";" 117";" 247";" 131";"  63";"   0";" 503"
"PWID_1980";"2618";"1617";"1572";"  54";"1116";"  48";"   2";"   0";" 489";" 300";"  18";"   2";"   0";"   3";"   2";"   0";"   3";"  80";"   7";" 355";" 165";" 100";"   0";" 180";"4576";" 124";" 283";"  18";"   1";"   0";" 416";" 124";" 283";" 178";" 101";"   0";" 579"
"PWID_1981";"2912";"1797";"1742";"  64";"1265";"  59";"   3";"   0";" 515";" 318";"  20";"   2";"   0";"   3";"   2";"   0";"   4";"  88";"   9";" 429";" 169";" 107";"   0";" 213";"5019";" 131";" 321";"  22";"   2";"   0";" 465";" 131";" 321";" 187";" 109";"   0";" 651"
"PWID_1982";"3132";"1935";"1881";"  70";"1407";"  72";"   3";"   0";" 506";" 334";"  22";"   3";"   0";"   3";"   2";"   0";"   4";"  94";"  12";" 513";" 181";" 116";"   0";" 234";"5297";" 129";" 357";"  26";"   2";"   0";" 502";" 129";" 357";" 201";" 117";"   0";" 712"
"PWID_1983";"3333";"2059";"1993";"  80";"1523";"  84";"   4";"   0";" 504";" 330";"  25";"   3";"   0";"   4";"   2";"   0";"   5";" 101";"  14";" 596";" 214";" 115";"   0";" 265";"5644";" 128";" 387";"  31";"   3";"   0";" 535";" 128";" 387";" 239";" 116";"   0";" 762"
"PWID_1984";"3637";"2195";"2121";"  84";"1627";"  98";"   4";"   0";" 530";" 327";"  26";"   3";"   0";"   4";"   3";"   0";"   5";" 107";"  18";" 688";" 227";" 151";"   0";" 274";"6022";" 135";" 413";"  36";"   3";"   0";" 571";" 135";" 413";" 254";" 153";"   0";" 820"
"PWID_1985";"3963";"2340";"2260";"  93";"1740";" 112";"   5";"   0";" 550";" 345";"  28";"   4";"   0";"   5";"   3";"   0";"   6";" 116";"  21";" 788";" 254";" 161";"   0";" 325";"6409";" 140";" 442";"  40";"   3";"   0";" 609";" 140";" 442";" 285";" 163";"   0";" 905"
"PWID_1986";"4215";"2434";"2352";" 100";"1838";" 124";"   6";"   0";" 527";" 357";"  29";"   4";"   0";"   5";"   4";"   0";"   7";" 122";"  25";" 899";" 254";" 188";"   0";" 350";"6764";" 134";" 467";"  44";"   4";"   0";" 635";" 134";" 467";" 292";" 190";"   0";" 947"
"PWID_1987";"4432";"2520";"2427";" 107";"1938";" 137";"   6";"   0";" 517";" 346";"  31";"   4";"   0";"   6";"   4";"   0";"   8";" 129";"  29";"1013";" 299";" 198";"   0";" 374";"7068";" 131";" 492";"  48";"   4";"   0";" 660";" 131";" 492";" 341";" 200";"   0";"1008"
"PWID_1988";"4655";"2676";"2576";" 114";"2013";" 150";"   7";"   0";" 580";" 337";"  33";"   5";"   0";"   6";"   4";"   0";"   8";" 134";"  34";"1130";" 294";" 199";"   0";" 404";"7297";" 147";" 511";"  53";"   4";"   0";" 701";" 147";" 511";" 338";" 202";"   1";"1070"
"PWID_1989";"4869";"2702";"2602";" 119";"2120";" 163";"   7";"   0";" 500";" 377";"  34";"   6";"   0";"   6";"   4";"   0";"   9";" 141";"  40";"1254";" 306";" 211";"   0";" 447";"7563";" 127";" 538";"  57";"   4";"   0";" 711";" 127";" 538";" 355";" 214";"   1";"1123"
"PWID_1990";"5174";"2928";"2826";" 126";"2162";" 178";"   8";"   1";" 684";" 327";"  35";"   6";"   1";"   6";"   5";"   0";"  10";" 148";"  46";"1379";" 317";" 237";"   0";" 469";"7892";" 174";" 549";"  62";"   5";"   1";" 770";" 174";" 549";" 370";" 240";"   1";"1187"
"PWID_1991";"5471";"3137";"3020";" 130";"2324";" 190";"   8";"   1";" 713";" 440";"  37";"   6";"   1";"   7";"   5";"   0";"  10";" 157";"  53";"1514";" 341";" 246";"   0";" 482";"8334";" 181";" 590";"  66";"   5";"   1";" 825";" 181";" 590";" 404";" 249";"   1";"1268"
"PWID_1992";"5761";"3422";"3300";" 138";"2481";" 210";"   8";"   1";" 835";" 460";"  38";"   6";"   1";"   7";"   5";"   0";"  10";" 165";"  59";"1656";" 339";" 250";"   0";" 485";"8708";" 212";" 630";"  74";"   5";"   1";" 900";" 212";" 630";" 401";" 253";"   1";"1335"
"PWID_1993";"6043";"3520";"3386";" 148";"2691";" 224";"   9";"   1";" 710";" 540";"  41";"   7";"   1";"   8";"   6";"   0";"  11";" 171";"  67";"1812";" 367";" 274";"   0";" 523";"8969";" 180";" 684";"  78";"   6";"   1";" 929";" 180";" 684";" 428";" 277";"   1";"1419"
"PWID_1994";"6346";"3779";"3631";" 160";"2804";" 241";"  10";"   1";" 846";" 462";"  44";"   7";"   1";"   8";"   6";"   0";"  12";" 182";"  75";"1972";" 390";" 283";"   0";" 565";"9470";" 215";" 712";"  84";"   6";"   1";" 996";" 215";" 712";" 460";" 286";"   1";"1518"
"PWID_1995";" 6759";" 3987";" 3835";"  169";" 2980";"  265";"   10";"    1";"  860";"  548";"   45";"    7";"    1";"    9";"    7";"    0";"   13";"  193";"   86";" 2142";"  414";"  294";"    0";"  616";"10014";"  218";"  757";"   91";"    6";"    1";" 1050";"  218";"  757";"  494";"  298";"    1";" 1606"
"PWID_1996";" 7124";" 4052";" 3889";"  178";" 3146";"  283";"   11";"    1";"  747";"  556";"   48";"    8";"    1";"    9";"    7";"    0";"   13";"  203";"   94";" 2317";"  432";"  303";"    0";"  609";"10439";"  190";"  799";"   97";"    7";"    1";" 1073";"  190";"  799";"  520";"  307";"    1";" 1631"
"PWID_1997";" 7655";" 4332";" 4166";"  190";" 3236";"  302";"   12";"    1";"  946";"  485";"   50";"    8";"    1";"   10";"    7";"    0";"   14";"  216";"  102";" 2514";"  432";"  306";"    0";"  628";"11169";"  240";"  822";"  104";"    8";"    1";" 1147";"  240";"  822";"  524";"  312";"    1";" 1720"
"PWID_1998";" 8103";" 4485";" 4307";"  194";" 3425";"  317";"   13";"    1";"  873";"  609";"   52";"    9";"    1";"   10";"    8";"    0";"   15";"  229";"  114";" 2718";"  455";"  330";"    0";"  670";"11739";"  222";"  870";"  109";"    8";"    1";" 1188";"  222";"  870";"  551";"  333";"    1";" 1803"
"PWID_1999";" 8703";" 4633";" 4452";"  205";" 3557";"  338";"   13";"    1";"  893";"  565";"   55";"    9";"    1";"   11";"    8";"    0";"   16";"  246";"  123";" 2940";"  485";"  343";"    0";"  719";"12577";"  227";"  903";"  116";"    8";"    1";" 1228";"  227";"  903";"  590";"  348";"    1";" 1875"
"PWID_2000";" 9371";" 4733";" 4546";"  213";" 3688";"  358";"   14";"    1";"  845";"  583";"   56";"    9";"    1";"   11";"    8";"    0";"   17";"  264";"  136";" 3176";"  480";"  360";"    0";"  753";"13462";"  215";"  937";"  122";"    9";"    1";" 1258";"  215";"  937";"  589";"  364";"    1";" 1947"
"PWID_2001";"10001";" 4935";" 4730";"  222";" 3789";"  380";"   15";"    1";"  941";"  546";"   59";"   10";"    1";"   11";"    8";"    0";"   17";"  281";"  147";" 3432";"  478";"  355";"    0";"  733";"14239";"  239";"  962";"  129";"    9";"    1";" 1316";"  239";"  962";"  590";"  361";"    1";" 1979"
"PWID_2002";" 9998";" 4981";" 4782";"  228";" 3927";"  400";"   16";"    1";"  825";"  610";"   58";"   11";"    1";"   13";"    9";"    0";"   19";"  282";"  160";" 3692";"  542";"  386";"    1";"  799";"13997";"  210";"  997";"  134";"   10";"    1";" 1324";"  210";"  997";"  659";"  393";"    3";" 2042"
"PWID_2003";" 9911";" 4834";" 4617";"  239";" 3990";"  421";"   15";"    1";"  616";"  533";"   60";"   10";"    1";"   13";"   10";"    1";"   19";"  277";"  175";" 3939";"  533";"  408";"   31";"  807";"13667";"  156";" 1013";"  140";"    9";"    1";" 1291";"  156";" 1013";"  654";"  416";"   31";" 2039"
"PWID_2004";" 9775";" 4927";" 4705";"  257";" 3897";"  440";"   16";"    2";"  798";"  401";"   62";"   12";"    2";"   13";"   10";"    1";"   20";"  270";"  191";" 4184";"  535";"  413";"   34";"  832";"13107";"  203";"  990";"  147";"   10";"    1";" 1320";"  203";"  990";"  665";"  419";"   34";" 2070"
"PWID_2005";" 9630";" 4851";" 4597";"  275";" 3947";"  458";"   18";"    1";"  654";"  514";"   60";"   13";"    1";"   13";"   11";"    1";"   21";"  268";"  205";" 4425";"  544";"  433";"   36";"  823";"12738";"  166";" 1003";"  151";"   11";"    1";" 1304";"  166";" 1003";"  678";"  440";"   37";" 2059"
"PWID_2006";" 9511";" 4849";" 4582";"  295";" 3901";"  476";"   18";"    2";"  685";"  423";"   61";"   13";"    2";"   13";"   11";"    1";"   21";"  263";"  221";" 4666";"  537";"  441";"   33";"  842";"12302";"  174";"  991";"  157";"   11";"    1";" 1305";"  174";"  991";"  672";"  452";"   33";" 2082"
"PWID_2007";" 9391";" 4520";" 4239";"  308";" 3857";"  495";"   19";"    2";"  388";"  445";"   62";"   12";"    2";"   13";"   12";"    1";"   22";"  263";"  236";" 4906";"  545";"  458";"   39";"  847";"12153";"   99";"  980";"  159";"   12";"    1";" 1227";"   99";"  980";"  676";"  464";"   39";" 2011"
"PWID_2008";" 9304";" 4480";" 4187";"  320";" 3656";"  507";"   19";"    2";"  552";"  250";"   60";"   13";"    2";"   14";"   12";"    1";"   22";"  258";"  252";" 5140";"  546";"  447";"   37";"  838";"11797";"  140";"  929";"  163";"   12";"    1";" 1220";"  140";"  929";"  688";"  455";"   37";" 1995"
"PWID_2009";" 9246";" 4470";" 4168";"  324";" 3594";"  520";"   20";"    2";"  601";"  358";"   57";"   13";"    2";"   13";"   12";"    1";"   22";"  258";"  269";" 5371";"  527";"  449";"   39";"  843";"11537";"  153";"  913";"  166";"   13";"    1";" 1219";"  153";"  913";"  679";"  461";"   40";" 2016"
"PWID_2010";" 9193";" 4403";" 4091";"  332";" 3558";"  534";"   20";"    2";"  568";"  390";"   57";"   14";"    2";"   13";"   12";"    1";"   23";"  256";"  285";" 5604";"  509";"  448";"   36";"  844";"11264";"  144";"  904";"  168";"   13";"    1";" 1204";"  144";"  904";"  660";"  458";"   36";" 1983"
"PWID_2011";" 9097";" 4242";" 3928";"  345";" 3506";"  539";"   21";"    2";"  462";"  369";"   54";"   14";"    2";"   13";"   12";"    1";"   22";"  254";"  302";" 5835";"  503";"  452";"   39";"  814";"11055";"  117";"  891";"  171";"   13";"    1";" 1165";"  117";"  891";"  651";"  463";"   40";" 1931"
"PWID_2012";" 8991";" 4109";" 3797";"  355";" 3375";"  551";"   21";"    3";"  463";"  300";"   55";"   13";"    3";"   13";"   13";"    1";"   23";"  250";"  318";" 6073";"  492";"  469";"   40";"  814";"10725";"  118";"  857";"  173";"   13";"    2";" 1133";"  118";"  857";"  642";"  480";"   41";" 1915"
"PWID_2013";" 8919";" 4003";" 3680";"  359";" 3279";"  560";"   20";"    3";"  443";"  299";"   53";"   14";"    3";"   13";"   13";"    1";"   23";"  249";"  334";" 6286";"  486";"  465";"   43";"  829";"10452";"  113";"  833";"  175";"   13";"    2";" 1107";"  113";"  833";"  644";"  473";"   43";" 1878"
"PWID_2014";" 8832";" 3902";" 3568";"  363";" 3185";"  561";"   21";"    3";"  438";"  291";"   51";"   14";"    3";"   13";"   13";"    1";"   23";"  249";"  353";" 6508";"  477";"  458";"   42";"  796";"10205";"  111";"  809";"  174";"   13";"    2";" 1083";"  111";"  809";"  625";"  468";"   43";" 1816"
"PWID_2015";" 8747";" 3792";" 3468";"  367";" 3085";"  566";"   20";"    3";"  428";"  284";"   49";"   14";"    3";"   13";"   13";"    1";"   23";"  249";"  369";" 6733";"  452";"  441";"   39";"  768";"10080";"  109";"  784";"  175";"   13";"    2";" 1054";"  109";"  784";"  603";"  448";"   40";" 1754"
"PWID_2016";"8705";"3689";"3357";" 371";"2987";" 571";"  20";"   3";" 422";" 278";"  48";"  14";"   3";"  13";"  13";"   1";"  22";" 249";" 385";"6951";" 462";" 425";"  39";" 744";"9937";" 107";" 759";" 175";"  13";"   2";"1030";" 107";" 759";" 616";" 433";"  40";"1726"
"PWID_2017";"8646";"3597";"3259";" 373";"2903";" 574";"  21";"   3";" 420";" 275";"  46";"  15";"   3";"  13";"  12";"   1";"  22";" 250";" 401";"7181";" 442";" 414";"  44";" 736";"9781";" 107";" 737";" 176";"  13";"   2";"1008";" 107";" 737";" 597";" 422";"  45";"1679"
"PWID_2018";"8606";"3512";"3182";" 377";"2832";" 575";"  21";"   3";" 411";" 272";"  46";"  14";"   3";"  12";"  13";"   1";"  23";" 249";" 416";"7403";" 411";" 415";"  39";" 724";"9628";" 104";" 719";" 175";"  13";"   2";" 988";" 104";" 719";" 566";" 426";"  39";"1643"
"PWID_2019";"8564";"3437";"3102";" 379";"2759";" 570";"  21";"   3";" 406";" 269";"  45";"  14";"   3";"  13";"  13";"   1";"  23";" 249";" 430";"7638";" 413";" 406";"  40";" 721";"9423";" 103";" 701";" 174";"  13";"   2";" 965";" 103";" 701";" 573";" 417";"  41";"1632"
"PWID_2020";"8529";"3362";"3031";" 384";"2687";" 570";"  21";"   3";" 400";" 264";"  43";"  14";"   3";"  13";"  13";"   1";"  23";" 248";" 449";"7867";" 399";" 400";"  39";" 692";"9263";" 102";" 682";" 174";"  13";"   2";" 947";" 102";" 682";" 558";" 408";"  40";"1579"
"PWID_2021";"8486";"3279";"2948";" 380";"2621";" 566";"  20";"   3";" 397";" 261";"  41";"  14";"   3";"  13";"  13";"   1";"  22";" 250";" 466";"8087";" 388";" 382";"  39";" 662";"9182";" 101";" 666";" 171";"  13";"   2";" 929";" 101";" 666";" 542";" 390";"  40";"1526"
"PWID_2022";"8422";"3194";"2875";" 381";"2549";" 562";"  20";"   4";" 387";" 257";"  40";"  14";"   4";"  12";"  12";"   1";"  22";" 252";" 481";"8319";" 368";" 375";"  40";" 636";"9041";"  98";" 647";" 171";"  13";"   3";" 905";"  98";" 647";" 521";" 383";"  41";"1486"
"PWID_2023";"8400";"3118";"2795";" 376";"2475";" 559";"  20";"   3";" 383";" 252";"  39";"  13";"   3";"  12";"  12";"   1";"  21";" 249";" 496";"8546";" 367";" 354";"  38";" 625";"8785";"  97";" 629";" 169";"  13";"   2";" 886";"  97";" 629";" 517";" 363";"  40";"1442"
"PWID_2024";"8360";"3047";"2718";" 382";"2427";" 561";"  20";"   4";" 378";" 250";"  38";"  14";"   4";"  12";"  12";"   1";"  21";" 253";" 510";"8771";" 345";" 342";"  37";" 584";"8772";"  96";" 616";" 170";"  13";"   3";" 867";"  96";" 616";" 490";" 350";"  38";"1392"
"PWID_2025";"8341";"2992";"2659";" 379";"2352";" 560";"  19";"   3";" 372";" 246";"  37";"  13";"   3";"  12";"  12";"   1";"  21";" 251";" 527";"9001";" 340";" 323";"  37";" 589";"8626";"  94";" 597";" 169";"  12";"   2";" 849";"  94";" 597";" 490";" 332";"  38";"1377"
"PWID_2026";"8299";"2917";"2593";" 381";"2302";" 546";"  20";"   4";" 368";" 241";"  38";"  14";"   4";"  12";"  12";"   1";"  21";" 255";" 540";"9233";" 311";" 324";"  34";" 563";"8466";"  93";" 585";" 166";"  13";"   3";" 830";"  93";" 585";" 460";" 335";"  35";"1332"
"PWID_2027";"8255";"2855";"2531";" 375";"2252";" 540";"  19";"   4";" 361";" 238";"  35";"  13";"   4";"  11";"  13";"   1";"  21";" 253";" 554";"9457";" 305";" 316";"  32";" 536";"8351";"  92";" 572";" 163";"  12";"   3";" 813";"  92";" 572";" 446";" 326";"  34";"1292"
"PWID_2028";"8230";"2805";"2474";" 375";"2194";" 533";"  18";"   3";" 357";" 236";"  34";"  13";"   3";"  12";"  12";"   1";"  21";" 259";" 566";"9699";" 310";" 301";"  36";" 520";"8338";"  91";" 557";" 162";"  11";"   2";" 797";"  91";" 557";" 451";" 309";"  37";"1265"
"PWID_2029";"8181";"2735";"2407";" 371";"2135";" 525";"  19";"   3";" 353";" 233";"  35";"  13";"   3";"  11";"  12";"   1";"  20";" 255";" 580";"9927";" 289";" 285";"  32";" 501";"8140";"  90";" 542";" 159";"  12";"   2";" 781";"  90";" 542";" 430";" 295";"  33";"1224"
"PWID_2030";" 8139";" 2672";" 2354";"  371";" 2086";"  517";"   18";"    3";"  350";"  231";"   32";"   12";"    3";"   11";"   11";"    1";"   20";"  262";"  592";"10170";"  269";"  276";"   34";"  483";" 8196";"   89";"  530";"  157";"   11";"    2";"  765";"   89";"  530";"  414";"  284";"   35";" 1186"
"Former-PWID-Will-Relapse_1973";"140";" 33";" 33";"  2";" 33";"  1";"  0";"  0";NA;" 21";"  1";"  0";"  0";"  0";"  0";"  0";"  0";"  1";"  0";"  1";"  0";"  0";"  0";"  0";" 59";"  0";"  8";"  0";"  0";"  0";"  9";"  0";"  8";"  0";"  0";"  0";"  9"
"Former-PWID-Will-Relapse_1974";"217";" 73";" 71";"  5";" 71";"  3";"  0";"  0";NA;" 26";"  2";"  0";"  0";"  0";"  0";"  0";"  0";"  1";"  0";"  1";"  0";"  0";"  0";"  0";" 61";"  0";" 18";"  1";"  0";"  0";" 19";"  0";" 18";"  1";"  0";"  0";" 19"
"Former-PWID-Will-Relapse_1975";"312";"120";"115";"  8";"118";"  6";"  0";"  0";NA;" 29";"  3";"  0";"  0";"  1";"  0";"  0";"  1";"  1";"  1";"  1";" 55";"  0";"  0";" 56";" 62";"  0";" 30";"  2";"  0";"  0";" 31";"  0";" 30";" 57";"  0";"  0";" 84"
"Former-PWID-Will-Relapse_1976";"423";"178";"171";" 12";"174";"  9";"  1";"  0";NA;" 33";"  5";"  1";"  0";"  1";"  0";"  0";"  1";"  1";"  1";"  2";" 59";"  0";"  0";" 60";" 65";"  0";" 44";"  4";"  1";"  0";" 46";"  0";" 44";" 61";"  1";"  0";" 99"
"Former-PWID-Will-Relapse_1977";"554";"246";"235";" 16";"240";" 13";"  1";"  0";NA;" 38";"  6";"  1";"  0";"  1";"  1";"  0";"  1";"  1";"  2";"  3";" 63";" 45";"  0";" 63";" 68";"  0";" 61";"  5";"  1";"  0";" 64";"  0";" 61";" 65";" 45";"  0";"120"
"Former-PWID-Will-Relapse_1978";"699";"322";"307";" 21";"311";" 20";"  1";"  0";NA;" 41";"  8";"  1";"  0";"  1";"  1";"  0";"  1";"  2";"  2";"  4";" 63";" 60";"  0";" 64";"117";"  0";" 79";"  7";"  1";"  0";" 84";"  0";" 79";" 68";" 60";"  0";"145"
"Former-PWID-Will-Relapse_1979";"861";"408";"388";" 26";"393";" 26";"  2";"  1";NA;" 44";"  9";"  2";"  1";"  2";"  1";"  0";"  2";"  2";"  4";"  5";"110";" 61";"  0";"112";"117";"  0";"100";" 10";"  1";"  1";"107";"  0";"100";"115";" 62";"  1";"209"
"Former-PWID-Will-Relapse_1980";"1035";" 501";" 476";"  31";" 479";"  33";"   2";"   1";NA;"  47";"  10";"   2";"   1";"   2";"   1";"   0";"   2";"   2";"   5";"   5";" 110";"  62";"   0";" 119";" 123";"   0";" 122";"  12";"   1";"   1";" 131";"   0";" 122";" 120";"  63";"   1";" 241"
"Former-PWID-Will-Relapse_1981";"1220";" 591";" 563";"  37";" 566";"  42";"   2";"   1";NA;"  50";"  12";"   2";"   1";"   2";"   2";"   0";"   3";"   3";"   6";"   7";" 115";"  99";"   0";" 166";" 152";"   0";" 144";"  15";"   1";"   1";" 156";"   0";" 144";" 125";" 101";"   1";" 312"
"Former-PWID-Will-Relapse_1982";"1412";" 694";" 658";"  43";" 660";"  52";"   3";"   1";NA;"  52";"  14";"   2";"   1";"   3";"   2";"   0";"   3";"   3";"   8";"   8";" 153";" 107";"   0";" 175";" 170";"   0";" 168";"  18";"   2";"   1";" 184";"   0";" 168";" 166";" 108";"   1";" 348"
"Former-PWID-Will-Relapse_1983";"1607";" 792";" 752";"  49";" 754";"  65";"   3";"   1";NA;"  51";"  15";"   3";"   1";"   3";"   2";"   0";"   4";"   3";"  10";"  10";" 159";" 107";"   0";" 204";" 177";"   0";" 192";"  22";"   2";"   1";" 209";"   0";" 192";" 174";" 107";"   1";" 399"
"Former-PWID-Will-Relapse_1984";"1814";" 890";" 849";"  55";" 845";"  75";"   4";"   1";NA;"  53";"  18";"   3";"   1";"   3";"   3";"   0";"   4";"   4";"  12";"  11";" 166";" 126";"   0";" 221";" 209";"   0";" 215";"  26";"   3";"   1";" 237";"   0";" 215";" 185";" 127";"   1";" 448"
"Former-PWID-Will-Relapse_1985";"2038";" 995";" 940";"  62";" 936";"  88";"   5";"   1";NA;"  53";"  19";"   3";"   1";"   4";"   2";"   0";"   5";"   4";"  15";"  13";" 207";" 114";"   0";" 246";" 212";"   0";" 238";"  30";"   3";"   1";" 266";"   0";" 238";" 229";" 115";"   1";" 489"
"Former-PWID-Will-Relapse_1986";"2261";"1094";"1037";"  69";"1034";" 103";"   5";"   1";NA;"  55";"  20";"   4";"   1";"   4";"   3";"   0";"   6";"   5";"  18";"  15";" 212";" 158";"   0";" 308";" 235";"   0";" 263";"  35";"   3";"   1";" 292";"   0";" 263";" 238";" 159";"   1";" 572"
"Former-PWID-Will-Relapse_1987";"2484";"1194";"1130";"  75";"1120";" 117";"   5";"   1";NA;"  53";"  22";"   4";"   1";"   5";"   3";"   1";"   7";"   5";"  22";"  18";" 230";" 168";"  44";" 339";" 242";"   0";" 284";"  39";"   3";"   1";" 320";"   0";" 284";" 262";" 170";"  44";" 631"
"Former-PWID-Will-Relapse_1988";"2699";"1286";"1213";"  81";"1205";" 132";"   6";"   1";NA;"  53";"  24";"   5";"   1";"   5";"   4";"   0";"   7";"   5";"  27";"  20";" 242";" 187";"   0";" 354";" 249";"   0";" 306";"  44";"   4";"   1";" 346";"   0";" 306";" 279";" 189";"   1";" 675"
"Former-PWID-Will-Relapse_1989";"2923";"1371";"1293";"  86";"1282";" 147";"   7";"   2";NA;"  57";"  24";"   5";"   2";"   5";"   4";"   1";"   8";"   6";"  32";"  23";" 261";" 194";"  43";" 367";" 279";"   0";" 326";"  49";"   4";"   1";" 371";"   0";" 326";" 300";" 196";"  43";" 708"
"Former-PWID-Will-Relapse_1990";"3139";"1459";"1377";"  92";"1364";" 161";"   7";"   2";NA;"  52";"  26";"   5";"   2";"   5";"   5";"   1";"   8";"   6";"  37";"  26";" 266";" 215";"  48";" 390";" 312";"   0";" 346";"  54";"   4";"   1";" 395";"   0";" 346";" 308";" 218";"  48";" 757"
"Former-PWID-Will-Relapse_1991";"3357";"1548";"1461";"  97";"1446";" 180";"   8";"   2";NA;"  68";"  27";"   6";"   2";"   6";"   5";"   1";"   9";"   6";"  42";"  30";" 298";" 226";"  42";" 427";" 303";"   0";" 367";"  59";"   5";"   1";" 420";"   0";" 367";" 350";" 230";"  43";" 816"
"Former-PWID-Will-Relapse_1992";"3574";"1649";"1556";" 104";"1532";" 194";"   9";"   2";NA;"  70";"  28";"   6";"   2";"   7";"   6";"   1";"  10";"   7";"  49";"  34";" 316";" 255";"  44";" 480";" 324";"   0";" 389";"  64";"   6";"   1";" 449";"   0";" 389";" 367";" 258";"  45";" 904"
"Former-PWID-Will-Relapse_1993";"3816";"1771";"1671";" 110";"1644";" 213";"   9";"   2";NA;"  82";"  30";"   7";"   2";"   7";"   6";"   1";"  11";"   7";"  54";"  37";" 335";" 262";"  47";" 496";" 339";"   0";" 418";"  69";"   6";"   1";" 482";"   0";" 418";" 394";" 263";"  48";" 937"
"Former-PWID-Will-Relapse_1994";"4040";"1887";"1778";" 119";"1746";" 232";"  10";"   2";NA;"  71";"  32";"   7";"   2";"   7";"   6";"   1";"  11";"   8";"  61";"  41";" 325";" 265";"  46";" 496";" 350";"   0";" 443";"  76";"   6";"   1";" 514";"   0";" 443";" 391";" 269";"  46";" 985"
