"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"Total_1993";"11057";"5598";"5345";"253";"4629";"447";"11";"1";"658";"573";"58";"7";"1";"8";"6";"0";"14";"153";"103";"1777";"379";"258";"4";"641";"7977";"167";"1176";"148";"7";"0";"1499";"167";"1176";"527";"265";"4";"2140"
"Total_1994";"11713";"5996";"5722";"274";"4871";"489";"12";"1";"786";"482";"63";"8";"1";"9";"6";"0";"15";"161";"119";"1938";"406";"280";"4";"690";"8311";"200";"1237";"162";"8";"0";"1607";"200";"1237";"568";"288";"4";"2297"
"Total_1995";"12509";"6354";"6063";"291";"5192";"531";"14";"1";"795";"576";"66";"9";"1";"10";"7";"0";"17";"172";"136";"2109";"437";"303";"5";"745";"8837";"202";"1319";"175";"9";"0";"1705";"202";"1319";"612";"312";"5";"2450"
"Total_1996";"13310";"6589";"6278";"311";"5505";"576";"15";"1";"690";"583";"71";"9";"1";"11";"8";"0";"18";"182";"154";"2292";"467";"327";"5";"799";"9323";"175";"1398";"189";"9";"1";"1773";"175";"1398";"656";"336";"6";"2572"
"Total_1997";"14276";"7017";"6687";"330";"5724";"623";"16";"1";"870";"506";"75";"10";"1";"11";"8";"0";"20";"196";"174";"2488";"495";"352";"5";"852";"9973";"221";"1454";"204";"10";"1";"1890";"221";"1454";"699";"362";"6";"2742"
"Total_1998";"15213";"7323";"6976";"347";"6062";"671";"18";"1";"809";"638";"78";"11";"1";"12";"9";"0";"21";"209";"195";"2696";"528";"377";"6";"911";"10555";"205";"1540";"219";"11";"1";"1976";"205";"1540";"747";"388";"7";"2887"
"Total_1999";"16354";"7647";"7279";"368";"6341";"721";"19";"1";"825";"593";"83";"12";"1";"13";"10";"0";"23";"225";"218";"2921";"556";"403";"6";"966";"11350";"209";"1611";"235";"12";"1";"2067";"209";"1611";"791";"415";"7";"3033"
"Total_2000";"17613";"7905";"7518";"387";"6616";"773";"20";"1";"780";"605";"86";"13";"1";"14";"11";"0";"25";"243";"242";"3165";"587";"429";"7";"1023";"12231";"198";"1680";"250";"13";"1";"2142";"198";"1680";"837";"442";"8";"3165"
"Total_2001";"18874";"8252";"7847";"405";"6844";"826";"22";"2";"869";"572";"90";"14";"2";"15";"11";"0";"26";"260";"269";"3425";"615";"453";"9";"1078";"13019";"221";"1738";"266";"14";"1";"2240";"221";"1738";"881";"467";"10";"3318"
"Total_2002";"19479";"8452";"8031";"421";"7125";"879";"23";"2";"759";"638";"93";"15";"2";"16";"12";"0";"28";"261";"297";"3686";"646";"476";"11";"1132";"12879";"193";"1810";"282";"14";"1";"2301";"193";"1810";"928";"490";"12";"3433"
"Total_2003";"19957";"8472";"8031";"440";"7313";"934";"24";"3";"563";"556";"97";"16";"3";"17";"13";"0";"30";"260";"326";"3946";"673";"497";"14";"1185";"12626";"143";"1858";"298";"15";"2";"2316";"143";"1858";"971";"512";"16";"3501"
"Total_2004";"20266";"8698";"8211";"487";"7346";"988";"25";"3";"725";"413";"100";"17";"3";"17";"13";"0";"31";"256";"357";"4202";"699";"518";"16";"1234";"12203";"184";"1866";"315";"16";"2";"2383";"184";"1866";"1014";"534";"18";"3617"
"Total_2005";"20553";"8728";"8203";"525";"7482";"1040";"26";"4";"596";"531";"100";"17";"4";"18";"14";"1";"33";"254";"390";"4456";"715";"538";"19";"1273";"11884";"151";"1900";"329";"17";"2";"2400";"151";"1900";"1044";"555";"21";"3673"
"Total_2006";"20789";"8802";"8234";"567";"7508";"1092";"27";"4";"623";"437";"101";"18";"4";"19";"15";"1";"34";"251";"424";"4707";"723";"553";"22";"1297";"11552";"158";"1907";"344";"17";"3";"2429";"158";"1907";"1067";"570";"25";"3726"
"Total_2007";"21041";"8565";"7962";"604";"7538";"1141";"28";"5";"345";"457";"101";"19";"5";"19";"15";"1";"35";"251";"459";"4958";"729";"564";"25";"1317";"11322";"88";"1915";"355";"18";"3";"2378";"88";"1915";"1084";"582";"28";"3695"
"Total_2008";"21294";"8545";"7908";"637";"7353";"1189";"29";"5";"496";"253";"101";"20";"5";"19";"16";"1";"36";"250";"495";"5208";"723";"574";"28";"1325";"11102";"126";"1868";"367";"18";"3";"2383";"126";"1868";"1090";"592";"31";"3708"
"Total_2009";"21513";"8527";"7868";"659";"7274";"1232";"30";"6";"543";"364";"98";"21";"6";"20";"16";"1";"37";"250";"531";"5458";"724";"581";"31";"1336";"10913";"138";"1848";"378";"19";"4";"2386";"138";"1848";"1102";"600";"35";"3722"
"Total_2010";"21693";"8465";"7779";"687";"7230";"1271";"31";"7";"514";"398";"97";"21";"7";"20";"17";"1";"37";"251";"568";"5709";"719";"588";"34";"1341";"10720";"130";"1836";"388";"19";"4";"2379";"130";"1836";"1107";"607";"38";"3720"
"Total_2011";"21833";"8299";"7584";"715";"7160";"1309";"31";"7";"410";"377";"96";"22";"7";"20";"17";"1";"38";"251";"606";"5960";"711";"590";"36";"1338";"10508";"104";"1819";"397";"20";"5";"2344";"104";"1819";"1108";"610";"41";"3682"
"Total_2012";"21951";"8155";"7416";"739";"7009";"1343";"32";"8";"411";"301";"95";"22";"8";"20";"17";"1";"39";"251";"645";"6211";"700";"590";"39";"1329";"10290";"104";"1780";"405";"20";"5";"2314";"104";"1780";"1105";"610";"44";"3643"
"Total_2013";"22067";"7996";"7238";"757";"6859";"1374";"32";"8";"395";"301";"93";"23";"8";"20";"18";"1";"39";"252";"684";"6463";"690";"587";"42";"1319";"10110";"100";"1742";"412";"20";"5";"2280";"100";"1742";"1102";"607";"47";"3599"
"Total_2014";"22181";"7836";"7062";"775";"6700";"1401";"32";"9";"388";"290";"90";"23";"9";"20";"18";"1";"39";"254";"723";"6717";"677";"584";"44";"1305";"9956";"98";"1702";"418";"21";"6";"2245";"98";"1702";"1095";"605";"50";"3550"
"Total_2015";"22293";"7675";"6886";"790";"6542";"1424";"33";"10";"380";"284";"88";"24";"10";"20";"18";"1";"40";"256";"763";"6973";"663";"577";"47";"1287";"9822";"97";"1662";"424";"21";"6";"2209";"97";"1662";"1087";"598";"53";"3496"
"Total_2016";"22402";"7515";"6711";"804";"6383";"1444";"33";"10";"374";"279";"86";"24";"10";"20";"18";"2";"40";"259";"803";"7232";"648";"568";"49";"1265";"9706";"95";"1621";"429";"21";"6";"2172";"95";"1621";"1077";"589";"55";"3437"
"Total_2017";"22507";"7356";"6539";"817";"6226";"1461";"33";"11";"367";"274";"83";"24";"11";"20";"18";"2";"40";"262";"843";"7494";"633";"557";"50";"1240";"9602";"93";"1581";"433";"21";"7";"2135";"93";"1581";"1066";"578";"57";"3375"
