"TYPES";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"OVERLAPPING PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"DISCRETE PREVALENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"INCIDENCE";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"YEARLY MORTALITY";"CUMULATIVE MORTALITY";"CUMULATIVE MORTALITY";"YLLs";"YLLs";"YLLs";"YLLs";"YLLs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"YLDs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs";"DALYs"
"prettyName";"Alive";"HCV+ (incl. treatment)";"HCV+ (excl. treatment)";"HCV treatment (excl. transplant)";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV related";"Not related to HCV";"Cirrhosis";"HCC";"Transplant";"HCV related";"Not related to HCV";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"Total";"HCV+ acute";"HCV+ chronic";"Cirrhosis";"HCC";"Transplant";"HCV related"
"PWID_2003";"9645";"4502";"4299";"203";"3686";"360";"9";"0";"563";"479";"47";"6";"0";"7";"5";"0";"12";"247";"141";"3820";"290";"199";"1";"489";"12106";"143";"936";"120";"6";"0";"1205";"143";"936";"410";"205";"1";"1694"
"PWID_2004";"9487";"4597";"4375";"222";"3607";"377";"10";"0";"725";"355";"47";"6";"0";"7";"5";"0";"12";"241";"154";"4061";"298";"207";"1";"506";"11641";"184";"916";"125";"6";"0";"1232";"184";"916";"423";"213";"1";"1738"
"PWID_2005";"9345";"4511";"4276";"235";"3643";"393";"10";"0";"596";"457";"46";"6";"0";"7";"6";"0";"13";"237";"167";"4298";"303";"216";"1";"521";"11283";"151";"925";"130";"7";"0";"1213";"151";"925";"433";"223";"1";"1734"
"PWID_2006";"9209";"4495";"4244";"252";"3594";"409";"11";"0";"623";"376";"47";"7";"0";"8";"6";"0";"13";"233";"180";"4532";"302";"222";"2";"526";"10913";"158";"913";"134";"7";"0";"1212";"158";"913";"436";"229";"2";"1738"
"PWID_2007";"9087";"4190";"3925";"264";"3567";"423";"11";"0";"345";"393";"46";"7";"0";"8";"6";"0";"14";"231";"194";"4763";"302";"227";"2";"531";"10644";"88";"906";"136";"7";"0";"1138";"88";"906";"438";"234";"2";"1669"
"PWID_2008";"9024";"4144";"3869";"275";"3368";"436";"11";"0";"496";"218";"45";"7";"0";"8";"6";"0";"14";"229";"208";"4992";"294";"231";"2";"527";"10385";"126";"855";"140";"7";"0";"1128";"126";"855";"434";"238";"2";"1655"
"PWID_2009";"8963";"4118";"3840";"278";"3292";"446";"12";"0";"543";"313";"43";"7";"0";"8";"6";"0";"14";"227";"222";"5219";"292";"234";"2";"528";"10156";"138";"836";"142";"7";"0";"1124";"138";"836";"434";"241";"2";"1652"
"PWID_2010";"8884";"4056";"3769";"287";"3257";"455";"12";"0";"514";"343";"42";"7";"0";"8";"7";"0";"14";"226";"236";"5445";"287";"237";"2";"526";"9922";"130";"827";"144";"8";"0";"1110";"130";"827";"431";"245";"2";"1636"
"PWID_2011";"8776";"3899";"3601";"297";"3204";"464";"12";"0";"410";"324";"41";"8";"0";"8";"7";"0";"14";"224";"250";"5669";"281";"238";"3";"521";"9669";"104";"814";"146";"8";"0";"1072";"104";"814";"427";"246";"3";"1593"
"PWID_2012";"8673";"3783";"3478";"305";"3089";"471";"12";"1";"411";"259";"41";"8";"1";"8";"7";"0";"14";"222";"265";"5891";"272";"237";"3";"512";"9409";"104";"785";"147";"8";"0";"1044";"104";"785";"419";"245";"3";"1556"
"PWID_2013";"8587";"3664";"3356";"308";"2986";"477";"13";"1";"395";"259";"39";"8";"1";"7";"7";"0";"14";"220";"279";"6111";"265";"236";"3";"504";"9185";"100";"758";"148";"8";"0";"1015";"100";"758";"413";"244";"3";"1519"
"PWID_2014";"8515";"3555";"3243";"311";"2886";"481";"13";"1";"388";"250";"38";"8";"1";"7";"7";"0";"14";"219";"293";"6330";"257";"234";"3";"495";"8986";"98";"733";"148";"8";"0";"988";"98";"733";"405";"242";"3";"1483"
"PWID_2015";"8452";"3452";"3138";"314";"2792";"484";"13";"1";"380";"245";"36";"8";"1";"7";"7";"0";"14";"218";"308";"6548";"249";"232";"3";"484";"8807";"97";"709";"149";"8";"0";"963";"97";"709";"398";"240";"3";"1447"
"PWID_2016";"8397";"3355";"3039";"316";"2703";"486";"13";"1";"374";"240";"35";"8";"1";"7";"7";"0";"14";"218";"322";"6766";"241";"228";"3";"472";"8643";"95";"687";"149";"8";"0";"939";"95";"687";"390";"236";"3";"1411"
"PWID_2017";"8348";"3263";"2945";"318";"2619";"487";"13";"1";"367";"236";"34";"8";"1";"7";"7";"0";"14";"218";"337";"6984";"233";"224";"3";"460";"8492";"93";"665";"149";"8";"0";"916";"93";"665";"382";"232";"3";"1376"
"PWID_2018";"8302";"3175";"2855";"320";"2539";"487";"13";"1";"361";"232";"33";"8";"1";"7";"7";"0";"14";"218";"351";"7202";"224";"219";"3";"446";"8351";"92";"645";"148";"8";"0";"893";"92";"645";"372";"227";"3";"1339"
"PWID_2019";"8260";"3091";"2769";"322";"2463";"486";"13";"1";"355";"228";"32";"8";"1";"7";"7";"0";"14";"218";"365";"7420";"216";"213";"4";"432";"8218";"90";"626";"147";"8";"0";"872";"90";"626";"363";"221";"4";"1304"
"PWID_2020";"8219";"3010";"2687";"323";"2390";"484";"13";"1";"349";"224";"31";"8";"1";"7";"7";"0";"14";"219";"379";"7639";"207";"207";"4";"418";"8091";"89";"607";"147";"8";"0";"851";"89";"607";"354";"215";"4";"1269"
"PWID_2021";"8180";"2932";"2608";"324";"2320";"481";"12";"1";"343";"220";"30";"8";"1";"7";"7";"0";"14";"219";"393";"7858";"199";"200";"4";"403";"7970";"87";"589";"146";"8";"0";"830";"87";"589";"345";"208";"4";"1233"
"PWID_2022";"8141";"2856";"2531";"324";"2252";"477";"12";"1";"338";"217";"29";"8";"1";"7";"7";"0";"14";"220";"407";"8078";"191";"193";"4";"388";"7853";"86";"572";"144";"8";"1";"811";"86";"572";"335";"201";"5";"1199"
"PWID_2023";"8103";"2783";"2458";"325";"2187";"473";"12";"1";"332";"213";"28";"8";"1";"6";"7";"0";"13";"221";"420";"8299";"183";"186";"4";"372";"7740";"84";"556";"143";"8";"1";"791";"84";"556";"326";"194";"5";"1163"
"PWID_2024";"8065";"2712";"2387";"325";"2125";"468";"12";"1";"326";"210";"27";"8";"1";"6";"7";"0";"13";"221";"433";"8520";"175";"179";"4";"357";"7630";"83";"540";"142";"8";"1";"772";"83";"540";"317";"187";"5";"1129"
"PWID_2025";"8026";"2643";"2318";"325";"2064";"462";"12";"1";"321";"206";"26";"7";"1";"6";"7";"0";"13";"222";"446";"8743";"167";"171";"4";"342";"7522";"81";"524";"140";"7";"1";"754";"81";"524";"307";"178";"5";"1096"
"PWID_2026";"7988";"2576";"2252";"324";"2006";"456";"11";"1";"315";"202";"25";"7";"1";"6";"6";"0";"13";"223";"459";"8966";"159";"164";"3";"326";"7418";"80";"509";"138";"7";"1";"736";"80";"509";"297";"171";"4";"1062"
"PWID_2027";"7948";"2511";"2187";"323";"1949";"449";"11";"1";"310";"199";"24";"7";"1";"6";"6";"0";"12";"225";"471";"9191";"151";"156";"3";"311";"7315";"79";"495";"136";"7";"1";"718";"79";"495";"287";"163";"4";"1029"
"PWID_2028";"7908";"2447";"2125";"322";"1895";"442";"11";"1";"304";"195";"24";"7";"1";"6";"6";"0";"12";"226";"484";"9416";"144";"149";"3";"296";"7215";"77";"481";"134";"7";"1";"700";"77";"481";"278";"156";"4";"996"
"PWID_2029";"7866";"2386";"2066";"320";"1842";"434";"11";"1";"298";"192";"23";"7";"1";"6";"6";"0";"12";"227";"496";"9644";"137";"142";"3";"282";"7116";"76";"468";"132";"7";"1";"683";"76";"468";"269";"149";"4";"965"
"PWID_2030";"7824";"2326";"2009";"317";"1791";"426";"10";"1";"293";"188";"22";"7";"1";"6";"6";"0";"12";"228";"507";"9872";"131";"134";"3";"268";"7019";"74";"455";"130";"7";"0";"666";"74";"455";"261";"141";"3";"934"
"Former-PWID-Will-Relapse_1973";"144";"27";"27";"1";"27";"0";"0";"0";NA;"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"7";"0";"0";"0";"7";"0";"7";"0";"0";"0";"7"
"Former-PWID-Will-Relapse_1974";"215";"65";"62";"2";"64";"1";"0";"0";NA;"18";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"16";"0";"0";"0";"17";"0";"16";"0";"0";"0";"17"
"Former-PWID-Will-Relapse_1975";"304";"111";"106";"4";"108";"2";"0";"0";NA;"21";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"8";"0";"28";"1";"0";"0";"28";"0";"28";"3";"0";"0";"30"
"Former-PWID-Will-Relapse_1976";"410";"165";"158";"7";"161";"5";"0";"0";NA;"24";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"1";"0";"5";"11";"0";"41";"2";"0";"0";"43";"0";"41";"6";"1";"0";"48"
"Former-PWID-Will-Relapse_1977";"533";"228";"218";"10";"221";"8";"0";"0";NA;"27";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7";"2";"0";"9";"16";"0";"56";"3";"0";"0";"59";"0";"56";"10";"2";"0";"68"
"Former-PWID-Will-Relapse_1978";"670";"299";"285";"14";"289";"12";"0";"0";NA;"30";"4";"0";"0";"0";"0";"0";"0";"0";"1";"1";"11";"4";"0";"15";"21";"0";"73";"4";"0";"0";"78";"0";"73";"15";"4";"0";"93"
"Former-PWID-Will-Relapse_1979";"821";"377";"359";"18";"363";"17";"0";"0";NA;"33";"5";"0";"0";"0";"0";"0";"0";"0";"1";"2";"16";"6";"0";"23";"27";"0";"92";"6";"0";"0";"99";"0";"92";"22";"6";"0";"122"
"Former-PWID-Will-Relapse_1980";"986";"461";"439";"22";"442";"23";"0";"0";NA;"36";"6";"0";"0";"0";"0";"0";"1";"1";"2";"2";"22";"9";"0";"32";"33";"0";"112";"8";"0";"0";"121";"0";"112";"30";"9";"0";"153"
"Former-PWID-Will-Relapse_1981";"1165";"550";"523";"27";"526";"31";"1";"0";NA;"38";"7";"0";"0";"1";"0";"0";"1";"1";"2";"3";"29";"13";"0";"42";"40";"0";"133";"11";"0";"0";"145";"0";"133";"40";"13";"0";"187"
"Former-PWID-Will-Relapse_1982";"1348";"643";"611";"32";"613";"39";"1";"0";NA;"40";"8";"1";"0";"1";"0";"0";"1";"1";"3";"4";"36";"18";"0";"55";"48";"0";"156";"14";"1";"0";"170";"0";"156";"50";"19";"0";"225"
"Former-PWID-Will-Relapse_1983";"1533";"737";"699";"38";"700";"48";"1";"0";NA;"39";"9";"1";"0";"1";"0";"0";"1";"1";"5";"5";"45";"23";"1";"69";"56";"0";"178";"17";"1";"0";"195";"0";"178";"62";"24";"1";"264"
"Former-PWID-Will-Relapse_1984";"1729";"829";"786";"43";"785";"59";"1";"0";NA;"39";"11";"1";"0";"1";"1";"0";"2";"1";"6";"6";"54";"29";"1";"84";"64";"0";"199";"20";"1";"0";"220";"0";"199";"74";"30";"1";"304"
"Former-PWID-Will-Relapse_1985";"1939";"921";"872";"49";"870";"70";"2";"0";NA;"41";"12";"1";"0";"1";"1";"0";"2";"1";"8";"8";"63";"36";"1";"100";"72";"0";"221";"24";"1";"0";"246";"0";"221";"87";"37";"1";"346"
"Former-PWID-Will-Relapse_1986";"2155";"1012";"958";"54";"954";"81";"2";"0";NA;"42";"13";"1";"0";"1";"1";"0";"2";"2";"11";"9";"73";"43";"1";"117";"82";"0";"242";"27";"1";"0";"271";"0";"242";"100";"44";"1";"388"
"Former-PWID-Will-Relapse_1987";"2372";"1101";"1041";"60";"1035";"94";"2";"0";NA;"41";"14";"1";"0";"2";"1";"0";"3";"2";"13";"11";"83";"51";"1";"135";"92";"0";"263";"31";"1";"0";"296";"0";"263";"114";"52";"1";"431"
"Former-PWID-Will-Relapse_1988";"2581";"1185";"1120";"65";"1110";"107";"3";"0";NA;"40";"15";"2";"0";"2";"1";"0";"3";"2";"17";"13";"93";"59";"1";"153";"102";"0";"282";"35";"2";"0";"319";"0";"282";"128";"61";"1";"472"
"Former-PWID-Will-Relapse_1989";"2800";"1269";"1199";"70";"1187";"120";"3";"0";NA;"45";"16";"2";"0";"2";"1";"0";"4";"2";"20";"15";"103";"68";"2";"172";"112";"0";"301";"39";"2";"0";"343";"0";"301";"142";"70";"2";"515"
"Former-PWID-Will-Relapse_1990";"3006";"1346";"1271";"75";"1256";"134";"3";"0";NA;"38";"17";"2";"0";"2";"2";"0";"4";"3";"24";"18";"112";"76";"2";"190";"123";"0";"319";"44";"2";"0";"365";"0";"319";"156";"78";"2";"555"
"Former-PWID-Will-Relapse_1991";"3219";"1432";"1352";"80";"1333";"147";"4";"0";NA;"53";"18";"2";"0";"3";"2";"0";"4";"3";"29";"21";"122";"85";"2";"209";"133";"0";"339";"48";"2";"0";"389";"0";"339";"170";"87";"2";"598"
"Former-PWID-Will-Relapse_1992";"3426";"1525";"1439";"85";"1418";"162";"4";"0";NA;"55";"19";"3";"0";"3";"2";"0";"5";"3";"34";"24";"132";"93";"2";"228";"144";"0";"360";"52";"3";"0";"415";"0";"360";"184";"96";"2";"643"
"Former-PWID-Will-Relapse_1993";"3657";"1631";"1540";"91";"1515";"176";"4";"0";NA;"66";"21";"3";"0";"3";"2";"0";"5";"3";"39";"27";"142";"102";"2";"247";"155";"0";"385";"57";"3";"0";"445";"0";"385";"199";"105";"2";"692"
"Former-PWID-Will-Relapse_1994";"3880";"1736";"1638";"98";"1610";"192";"5";"0";NA;"55";"22";"3";"0";"3";"2";"0";"6";"4";"45";"31";"152";"111";"3";"265";"168";"0";"409";"62";"3";"0";"474";"0";"409";"214";"114";"3";"739"
"Former-PWID-Will-Relapse_1995";"4125";"1847";"1743";"105";"1712";"208";"5";"0";NA;"66";"23";"3";"0";"4";"3";"0";"6";"4";"51";"35";"163";"119";"3";"285";"180";"0";"435";"67";"3";"0";"505";"0";"435";"230";"122";"3";"790"
"Former-PWID-Will-Relapse_1996";"4399";"1963";"1851";"112";"1817";"225";"6";"0";NA;"67";"25";"4";"0";"4";"3";"0";"7";"4";"58";"40";"174";"128";"3";"305";"194";"0";"462";"72";"4";"0";"538";"0";"462";"246";"132";"3";"843"
"Former-PWID-Will-Relapse_1997";"4682";"2070";"1951";"119";"1914";"243";"6";"1";NA;"58";"26";"4";"1";"4";"3";"0";"8";"5";"66";"44";"185";"137";"3";"325";"210";"0";"486";"78";"4";"0";"568";"0";"486";"263";"141";"3";"893"
"Former-PWID-Will-Relapse_1998";"4993";"2185";"2060";"125";"2018";"261";"7";"1";NA;"73";"28";"4";"1";"5";"3";"0";"8";"5";"74";"50";"196";"147";"3";"347";"227";"0";"513";"83";"4";"0";"601";"0";"513";"279";"151";"3";"948"
"Former-PWID-Will-Relapse_1999";"5340";"2299";"2167";"133";"2121";"280";"7";"1";NA;"68";"29";"5";"1";"5";"4";"0";"9";"6";"83";"56";"207";"157";"4";"368";"245";"0";"539";"89";"5";"0";"633";"0";"539";"296";"162";"4";"1001"
"Former-PWID-Will-Relapse_2000";"5732";"2411";"2272";"140";"2223";"299";"8";"1";NA;"69";"31";"5";"1";"5";"4";"0";"9";"6";"92";"62";"219";"166";"4";"389";"265";"0";"565";"95";"5";"0";"665";"0";"565";"314";"171";"4";"1054"
"Former-PWID-Will-Relapse_2001";"6143";"2517";"2370";"146";"2317";"319";"8";"1";NA;"65";"32";"5";"1";"6";"4";"0";"10";"7";"102";"69";"230";"174";"5";"409";"288";"0";"589";"101";"5";"1";"695";"0";"589";"331";"179";"6";"1104"
"Former-PWID-Will-Relapse_2002";"6514";"2623";"2471";"153";"2413";"339";"9";"1";NA;"73";"33";"6";"1";"6";"5";"0";"11";"8";"113";"77";"241";"182";"6";"429";"312";"0";"613";"107";"5";"1";"726";"0";"613";"348";"187";"7";"1155"
"Former-PWID-Will-Relapse_2003";"6850";"2720";"2560";"160";"2499";"359";"9";"1";NA;"64";"35";"6";"1";"6";"5";"0";"11";"8";"124";"85";"251";"189";"8";"448";"336";"0";"635";"113";"6";"1";"754";"0";"635";"364";"195";"9";"1202"
"Former-PWID-Will-Relapse_2004";"7098";"2792";"2614";"177";"2560";"379";"9";"2";NA;"47";"36";"6";"2";"7";"5";"0";"12";"9";"136";"94";"262";"195";"9";"466";"359";"0";"650";"119";"6";"1";"776";"0";"650";"381";"201";"10";"1242"
"Former-PWID-Will-Relapse_2005";"7311";"2852";"2659";"193";"2612";"398";"10";"2";NA;"61";"36";"7";"2";"7";"5";"0";"12";"10";"148";"104";"267";"201";"11";"479";"379";"0";"663";"124";"6";"1";"795";"0";"663";"391";"207";"12";"1274"
"Former-PWID-Will-Relapse_2006";"7473";"2891";"2683";"208";"2644";"417";"10";"2";NA;"50";"37";"7";"2";"7";"5";"0";"13";"11";"161";"115";"270";"205";"12";"488";"399";"0";"672";"130";"6";"1";"809";"0";"672";"400";"211";"13";"1297"
"Former-PWID-Will-Relapse_2007";"7634";"2916";"2694";"222";"2663";"435";"10";"3";NA;"52";"37";"7";"3";"7";"6";"0";"13";"11";"174";"126";"272";"208";"14";"495";"417";"0";"676";"134";"7";"2";"819";"0";"676";"406";"215";"16";"1314"
"Former-PWID-Will-Relapse_2008";"7745";"2905";"2671";"235";"2649";"452";"11";"3";NA;"29";"37";"8";"3";"7";"6";"0";"13";"12";"187";"139";"272";"211";"15";"498";"435";"0";"673";"138";"7";"2";"819";"0";"673";"410";"218";"17";"1317"
"Former-PWID-Will-Relapse_2009";"7825";"2883";"2639";"244";"2623";"468";"11";"3";NA;"42";"36";"8";"3";"7";"6";"0";"14";"13";"200";"152";"271";"212";"17";"500";"453";"0";"666";"142";"7";"2";"817";"0";"666";"413";"219";"19";"1317"
"Former-PWID-Will-Relapse_2010";"7888";"2857";"2604";"254";"2594";"481";"11";"3";NA;"45";"36";"8";"3";"7";"6";"1";"14";"14";"214";"166";"269";"213";"18";"501";"469";"0";"659";"145";"7";"2";"813";"0";"659";"414";"220";"20";"1314"
"Former-PWID-Will-Relapse_2011";"7941";"2826";"2563";"263";"2561";"493";"11";"4";NA;"43";"35";"8";"4";"7";"6";"1";"14";"15";"228";"180";"266";"213";"20";"499";"486";"0";"650";"148";"7";"2";"808";"0";"650";"414";"220";"22";"1307"
"Former-PWID-Will-Relapse_2012";"7972";"2782";"2511";"271";"2515";"504";"11";"4";NA;"34";"35";"8";"4";"7";"6";"1";"14";"16";"242";"196";"261";"212";"21";"494";"502";"0";"639";"150";"7";"3";"798";"0";"639";"411";"219";"24";"1292"
"Former-PWID-Will-Relapse_2013";"7989";"2729";"2451";"277";"2461";"513";"11";"4";NA;"34";"34";"9";"4";"7";"6";"1";"14";"17";"257";"213";"257";"209";"22";"488";"519";"0";"625";"152";"7";"3";"787";"0";"625";"409";"216";"25";"1275"
"Former-PWID-Will-Relapse_2014";"7994";"2670";"2387";"283";"2401";"520";"11";"5";NA;"33";"33";"9";"5";"7";"6";"1";"14";"18";"271";"231";"251";"206";"23";"481";"535";"0";"610";"154";"7";"3";"773";"0";"610";"405";"213";"26";"1254"
"Former-PWID-Will-Relapse_2015";"7990";"2606";"2319";"287";"2338";"526";"11";"5";NA;"32";"32";"9";"5";"7";"6";"1";"14";"19";"285";"250";"245";"202";"24";"472";"552";"0";"594";"155";"7";"3";"759";"0";"594";"400";"209";"27";"1231"
"Former-PWID-Will-Relapse_2016";"7979";"2541";"2250";"291";"2272";"530";"11";"5";NA;"32";"31";"9";"5";"7";"6";"1";"14";"20";"300";"270";"239";"198";"25";"462";"568";"0";"577";"156";"7";"3";"743";"0";"577";"395";"205";"28";"1205"
"Former-PWID-Will-Relapse_2017";"7962";"2475";"2181";"294";"2206";"532";"11";"5";NA;"31";"30";"9";"5";"7";"6";"1";"14";"22";"314";"292";"232";"192";"26";"450";"584";"0";"560";"156";"7";"3";"727";"0";"560";"388";"199";"29";"1177"
"Former-PWID-Will-Relapse_2018";"7942";"2408";"2112";"297";"2140";"534";"11";"6";NA;"31";"29";"9";"6";"7";"6";"1";"14";"23";"328";"315";"225";"186";"27";"438";"600";"0";"544";"156";"7";"3";"710";"0";"544";"381";"193";"30";"1148"
"Former-PWID-Will-Relapse_2019";"7918";"2342";"2044";"298";"2075";"533";"11";"6";NA;"30";"28";"9";"6";"7";"6";"1";"14";"25";"342";"340";"218";"180";"27";"424";"615";"0";"527";"156";"7";"4";"693";"0";"527";"374";"187";"31";"1117"
"Former-PWID-Will-Relapse_2020";"7891";"2277";"1977";"300";"2011";"532";"10";"6";NA;"30";"27";"9";"6";"7";"6";"1";"14";"26";"356";"366";"210";"173";"27";"410";"631";"0";"511";"156";"7";"4";"677";"0";"511";"366";"180";"31";"1087"
"Former-PWID-Will-Relapse_2021";"7862";"2214";"1913";"301";"1948";"530";"10";"6";NA;"29";"26";"9";"6";"7";"6";"1";"14";"28";"370";"394";"203";"166";"27";"396";"647";"0";"495";"155";"7";"4";"660";"0";"495";"358";"173";"31";"1056"
"Former-PWID-Will-Relapse_2022";"7832";"2152";"1850";"302";"1888";"526";"10";"6";NA;"29";"25";"9";"6";"7";"6";"1";"14";"30";"383";"423";"195";"158";"27";"381";"662";"0";"480";"154";"6";"4";"644";"0";"480";"349";"164";"31";"1025"
"Former-PWID-Will-Relapse_2023";"7799";"2092";"1789";"302";"1829";"522";"10";"6";NA;"28";"25";"9";"6";"7";"6";"1";"13";"31";"397";"454";"187";"151";"27";"365";"676";"0";"465";"153";"6";"4";"628";"0";"465";"340";"157";"31";"993"
"Former-PWID-Will-Relapse_2024";"7765";"2033";"1731";"303";"1772";"516";"10";"6";NA;"28";"24";"8";"6";"7";"5";"1";"13";"33";"410";"488";"179";"143";"27";"350";"691";"0";"450";"152";"6";"4";"612";"0";"450";"331";"149";"31";"962"
"Former-PWID-Will-Relapse_2025";"7729";"1977";"1674";"303";"1718";"510";"9";"6";NA;"27";"23";"8";"6";"7";"5";"1";"13";"36";"423";"523";"172";"136";"27";"334";"704";"0";"436";"150";"6";"4";"596";"0";"436";"322";"142";"31";"930"
"Former-PWID-Will-Relapse_2026";"7692";"1922";"1619";"302";"1665";"503";"9";"7";NA;"27";"22";"8";"7";"6";"5";"1";"13";"38";"435";"561";"164";"129";"26";"319";"717";"0";"423";"148";"6";"4";"581";"0";"423";"312";"135";"30";"900"
"Former-PWID-Will-Relapse_2027";"7654";"1868";"1567";"302";"1614";"496";"9";"7";NA;"26";"21";"8";"7";"6";"5";"1";"12";"40";"448";"601";"156";"121";"26";"304";"728";"0";"410";"147";"6";"4";"566";"0";"410";"303";"127";"30";"870"
"Former-PWID-Will-Relapse_2028";"7614";"1817";"1516";"301";"1564";"488";"8";"7";NA;"26";"21";"8";"7";"6";"5";"1";"12";"42";"460";"644";"149";"114";"25";"288";"739";"0";"397";"145";"5";"4";"551";"0";"397";"294";"119";"29";"839"
"Former-PWID-Will-Relapse_2029";"7572";"1767";"1467";"299";"1517";"479";"8";"7";NA;"25";"20";"8";"7";"6";"5";"1";"12";"45";"472";"689";"142";"107";"25";"274";"749";"0";"385";"142";"5";"4";"537";"0";"385";"284";"112";"29";"811"
"Former-PWID-Will-Relapse_2030";"7529";"1719";"1423";"297";"1471";"471";"8";"6";NA;"25";"19";"7";"6";"6";"5";"1";"12";"48";"483";"736";"135";"101";"24";"259";"757";"0";"374";"141";"5";"4";"523";"0";"374";"276";"106";"28";"782"
"Former-PWID-Wont-Relapse_1973";"13";"6";"6";"0";"6";"0";"0";"0";NA;"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"2"
"Former-PWID-Wont-Relapse_1974";"32";"15";"14";"1";"15";"0";"0";"0";NA;"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"4";"0";"4";"0";"0";"0";"4"
"Former-PWID-Wont-Relapse_1975";"57";"26";"25";"1";"26";"1";"0";"0";NA;"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"7";"0";"0";"0";"7";"0";"7";"0";"0";"0";"7"
"Former-PWID-Wont-Relapse_1976";"88";"41";"39";"2";"40";"1";"0";"0";NA;"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"10";"0";"0";"0";"11";"0";"10";"1";"0";"0";"12"
"Former-PWID-Wont-Relapse_1977";"125";"59";"56";"3";"57";"2";"0";"0";NA;"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"2";"3";"0";"14";"1";"0";"0";"15";"0";"14";"3";"1";"0";"17"
"Former-PWID-Wont-Relapse_1978";"168";"80";"76";"4";"77";"3";"0";"0";NA;"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"4";"5";"0";"19";"1";"0";"0";"21";"0";"19";"4";"1";"0";"25"
"Former-PWID-Wont-Relapse_1979";"218";"103";"98";"5";"99";"5";"0";"0";NA;"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"2";"0";"6";"7";"0";"25";"2";"0";"0";"27";"0";"25";"7";"2";"0";"33"
"Former-PWID-Wont-Relapse_1980";"275";"130";"124";"6";"124";"7";"0";"0";NA;"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"3";"0";"9";"9";"0";"32";"3";"0";"0";"34";"0";"32";"9";"3";"0";"43"
"Former-PWID-Wont-Relapse_1981";"339";"160";"152";"8";"152";"10";"0";"0";NA;"8";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"9";"4";"0";"13";"11";"0";"39";"3";"0";"0";"42";"0";"39";"12";"4";"0";"55"
"Former-PWID-Wont-Relapse_1982";"408";"192";"182";"10";"182";"13";"0";"0";NA;"9";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"11";"6";"0";"17";"14";"0";"46";"4";"0";"0";"51";"0";"46";"15";"6";"0";"68"
"Former-PWID-Wont-Relapse_1983";"483";"226";"214";"12";"214";"17";"0";"0";NA;"9";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"14";"8";"0";"23";"17";"0";"54";"6";"0";"0";"60";"0";"54";"20";"8";"0";"83"
"Former-PWID-Wont-Relapse_1984";"564";"262";"248";"14";"247";"21";"0";"0";NA;"9";"3";"0";"0";"0";"0";"0";"1";"0";"2";"2";"18";"10";"0";"28";"20";"0";"63";"7";"0";"0";"70";"0";"63";"25";"10";"0";"98"
"Former-PWID-Wont-Relapse_1985";"653";"300";"283";"16";"282";"26";"1";"0";NA;"9";"4";"0";"0";"0";"0";"0";"1";"0";"3";"2";"22";"13";"0";"35";"24";"0";"72";"9";"0";"0";"80";"0";"72";"31";"13";"0";"115"
"Former-PWID-Wont-Relapse_1986";"749";"338";"320";"19";"317";"31";"1";"0";NA;"9";"4";"0";"0";"1";"0";"0";"1";"1";"4";"3";"26";"16";"0";"43";"28";"0";"81";"10";"0";"0";"91";"0";"81";"36";"16";"0";"134"
